"Name","ak_prop","idx"
"Rockfish_pelagic_shelf",0.927315205781671,12
"Pollock",0.994733359981402,13
"Cod",0.965281963440067,13
"Arrowtooth_flounder",0.877406777658622,13
"Halibut",0.915808869812995,13
"Flathead_sole",0.961109584127082,13
"Rex_sole",0.766985812973371,13
"Flatfish_shallow",0.915260870786895,13
"Flatfish_deep",0.709736682096388,13
"Sablefish",0.809533162592867,13
"Pacific_ocean_perch",0.770944441484438,13
"Rockfish_slope",0.827431385431538,13
"Rockfish_pelagic_shelf",0.927315847195979,13
"Pollock",0.994732201061294,14
"Cod",0.965278752159447,14
"Arrowtooth_flounder",0.877451633588131,14
"Halibut",0.915874606364761,14
"Flathead_sole",0.96110782825299,14
"Rex_sole",0.845360252528483,14
"Flatfish_shallow",0.915373478761846,14
"Flatfish_deep",0.749633191683168,14
"Sablefish",0.809662949202253,14
"Pacific_ocean_perch",0.771017391192011,14
"Rockfish_slope",0.818618842686747,14
"Rockfish_pelagic_shelf",0.927309207004979,14
"Pollock",0.994732377793223,15
"Cod",0.965279239941734,15
"Arrowtooth_flounder",0.87745141900323,15
"Halibut",0.91587208769007,15
"Flathead_sole",0.961108145722058,15
"Rex_sole",0.840398917080381,15
"Flatfish_shallow",0.915368947358825,15
"Flatfish_deep",0.747451066436444,15
"Sablefish",0.809657463481787,15
"Pacific_ocean_perch",0.771014069212051,15
"Rockfish_slope",0.819117502398643,15
"Rockfish_pelagic_shelf",0.927310058596177,15
"Pollock",0.994732529634195,16
"Cod",0.965279644333658,16
"Arrowtooth_flounder",0.877451003703783,16
"Halibut",0.915869340405349,16
"Flathead_sole",0.961108379600492,16
"Rex_sole",0.834763038781282,16
"Flatfish_shallow",0.915363315835075,16
"Flatfish_deep",0.745046353867168,16
"Sablefish",0.809651240510696,16
"Pacific_ocean_perch",0.771010394943832,16
"Rockfish_slope",0.819660700910222,16
"Rockfish_pelagic_shelf",0.927310768197496,16
"Pollock",0.994732658177869,17
"Cod",0.965279982085112,17
"Arrowtooth_flounder",0.877450657033188,17
"Halibut",0.915866303831844,17
"Flathead_sole",0.961108553527595,17
"Rex_sole",0.828801741866121,17
"Flatfish_shallow",0.915356665168185,17
"Flatfish_deep",0.742486812292806,17
"Sablefish",0.809644440970047,17
"Pacific_ocean_perch",0.771006433274601,17
"Rockfish_slope",0.820230705856153,17
"Rockfish_pelagic_shelf",0.927311378067982,17
"Pollock",0.994732767791992,18
"Cod",0.965280272687818,18
"Arrowtooth_flounder",0.877450304324229,18
"Halibut",0.915862971470453,18
"Flathead_sole",0.961108701775048,18
"Rex_sole",0.822822248772618,18
"Flatfish_shallow",0.915349173295453,18
"Flatfish_deep",0.739842080396651,18
"Sablefish",0.809637245471723,18
"Pacific_ocean_perch",0.771002260977413,18
"Rockfish_slope",0.820811256393017,18
"Rockfish_pelagic_shelf",0.927311903671743,18
"Pollock",0.994732861384119,19
"Cod",0.965280519292784,19
"Arrowtooth_flounder",0.877449913764121,19
"Halibut",0.915859383792746,19
"Flathead_sole",0.961108827591562,19
"Rex_sole",0.817015797497469,19
"Flatfish_shallow",0.915341225212716,19
"Flatfish_deep",0.737176851570448,19
"Sablefish",0.809629808434229,19
"Pacific_ocean_perch",0.770997962966541,19
"Rockfish_slope",0.821388951005529,19
"Rockfish_pelagic_shelf",0.927312368211514,19
"Pollock",0.99473294218822,20
"Cod",0.9652807300211,20
"Arrowtooth_flounder",0.877450190233807,20
"Halibut",0.915855573476625,20
"Flathead_sole",0.961108937866339,20
"Rex_sole",0.8115508261882,20
"Flatfish_shallow",0.915332978499855,20
"Flatfish_deep",0.734544233269151,20
"Sablefish",0.809622258160798,20
