Time KWT WHT KWR DOL WHG WHH WHB SSL PIN BDF BDI BSF BSI SHD SHP DOG POL COD HER ATF HAL FHS REX FFS FFD SKL SKB SKO SBF POP RFS RFP RFD THO DFS DFD SCU OCT SQD SCH SCM SCO SPI SSO HAK CAP SAN FOS EUL TAN KIN CRO PAN PWN EBC BG COR SPG BFF BIV TsActKWT TsActWHT TsActKWR TsActDOL TsActWHG TsActWHH TsActWHB TsActSSL TsActPIN TsActBDF TsActBDI TsActBSF TsActBSI TsActSHD TsActSHP TsActDOG TsActPOL TsActCOD TsActHER TsActATF TsActHAL TsActFHS TsActREX TsActFFS TsActFFD TsActSKL TsActSKB TsActSKO TsActSBF TsActPOP TsActRFS TsActRFP TsActRFD TsActTHO TsActDFS TsActDFD TsActSCU TsActOCT TsActSQD TsActSCH TsActSCM TsActSCO TsActSPI TsActSSO TsActHAK TsActCAP TsActSAN TsActFOS TsActEUL TsActTAN TsActKIN TsActCRO TsActPAN TsActPWN TsActEBC TsActBG TsActCOR TsActSPG TsActBFF TsActBIV
3.650000e+03 5.513899 28.280233 20.366050 20.230578 1616.791190 1380.922999 380.231917 30.575537 92.646767 21.043986 0.616632 1.724331 1.069422 34.579833 246.277732 46.069362 195443.464676 197266.420934 38281.959885 97605.173845 37500.352647 37014.638794 5805.886881 27824.746311 4043.705921 466.269130 1255.016122 406.536897 6420.924849 4369.288123 5504.119655 1273.392336 1096.335067 514.421496 35105.916757 2304.752444 1620.332681 85.926606 43.127710 79.734109 15462.852374 2977.019197 19333.100139 647.295744 29012.149335 201932.340542 72603.626563 25954.556370 7265.025275 126.473643 0.000000 0.002598 0.001005 0.000000 0.000149 0.008167 0.000000 0.000000 0.000000 0.006599 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4.015000e+03 5.615401 27.665975 20.861366 20.209004 1602.297172 1316.231459 386.711789 30.849527 93.155264 19.816772 0.592493 1.738623 1.101842 35.616868 274.548491 51.247815 199185.793981 200115.327152 39374.733841 96749.635615 40431.658549 37154.849918 5851.228742 28288.860744 4046.287094 490.753689 1252.489274 421.917777 6455.449516 4394.308653 5554.241136 1305.138245 1118.179863 525.102395 36099.139996 2348.449877 1677.849394 88.976993 43.448221 119.231486 9330.153797 2371.319507 75.603494 1011.810198 23230.731689 202378.973606 72675.724731 28406.671649 7746.840270 130.394681 0.000000 0.002680 0.000955 0.000000 0.000148 0.008260 0.000000 0.000000 0.000000 0.006969 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4.380000e+03 5.710778 27.098040 21.356480 20.138711 1593.502514 1254.304213 392.833517 31.100835 93.589298 18.725222 0.565735 1.752664 1.135680 36.643650 298.482388 57.031987 204724.732442 216504.372185 40316.074045 95929.959466 42981.039164 37133.361197 5938.253250 28715.355271 4055.646521 511.131415 1294.903038 434.151594 6508.719251 4427.030833 5610.267200 1337.879436 1141.350829 536.326134 36807.212199 2391.062438 1733.489829 92.123504 43.770682 192.047039 1542.361957 2882.207684 21003.973458 1781.776642 21764.663201 202544.537796 72397.218791 30284.753687 8273.531216 134.437279 0.000000 0.002744 0.000907 0.000000 0.000147 0.008355 0.000000 0.000000 0.000000 0.007224 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
4.745000e+03 5.800317 26.607802 21.864421 20.030233 1589.000905 1195.594906 398.633193 31.371035 94.064412 17.769025 0.540614 1.766372 1.170472 37.662713 331.356259 63.461102 210511.843095 235155.560887 41023.961933 95213.991601 45161.765426 36987.323443 6062.867068 29111.287433 4070.789831 526.288409 1366.345991 443.128158 6573.660971 4462.209700 5669.437879 1369.313566 1164.781784 547.710143 37355.632605 2431.761339 1783.768082 95.358001 44.091371 191.253415 504.075534 2993.419828 82.259456 1915.717666 22520.689591 202362.177247 72298.145114 31610.122179 8714.059856 138.595752 0.000000 0.002766 0.000863 0.000000 0.000146 0.008450 0.000000 0.000000 0.000000 0.007254 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.110000e+03 5.884166 26.185644 22.369177 19.894408 1587.285286 1139.733580 404.142578 31.646033 94.554111 16.944570 0.518046 1.779512 1.205878 38.674102 356.608555 70.563860 215239.401668 248638.030270 41570.340492 94606.310378 46988.919994 36734.715759 6216.169853 29478.052815 4090.728433 535.652870 1433.632984 448.820622 6641.768398 4495.401002 5729.230507 1397.159729 1187.037765 558.817900 37840.158388 2469.962499 1824.619414 98.674149 44.409929 97.822374 14169.016193 2543.343236 21766.253932 1030.535139 23226.624115 201995.731849 72188.040619 32739.657956 9073.361631 142.867135 0.000000 0.002753 0.000820 0.000000 0.000144 0.008546 0.000000 0.000000 0.000000 0.007070 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.475000e+03 5.962360 25.817412 22.861240 19.740764 1586.959844 1086.723090 409.374435 31.915274 95.043550 16.243177 0.497169 1.791715 1.241616 39.678638 385.459514 78.362118 218286.325342 254722.777859 42033.241111 94103.860946 48524.132398 36400.328222 6387.451826 29810.490391 4114.544650 540.002981 1489.640232 451.963563 6707.911604 4525.202597 5787.686648 1420.766659 1207.589192 569.413434 38321.819131 2505.405307 1854.564902 102.068183 44.727721 84.141438 20869.494861 3025.472648 85.172648 706.362720 23452.613584 201489.099152 71952.632346 33839.153564 9388.961644 147.249566 0.000000 0.002706 0.000780 0.000000 0.000142 0.008642 0.000000 0.000000 0.000000 0.006809 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
5.840000e+03 6.034831 25.482297 23.331261 19.580043 1586.725342 1036.342307 414.328341 32.166337 95.504091 15.650360 0.478197 1.802536 1.277422 40.676124 408.723559 86.865846 219582.892307 254204.646685 42363.140910 93670.753145 49818.141383 36001.718951 6574.257694 30096.991187 4141.468567 540.464195 1524.959028 453.242429 6766.872866 4549.643006 5841.759718 1439.205562 1225.714019 579.281980 38794.341376 2537.976447 1872.605685 105.536589 45.046411 127.270162 5993.040760 2888.537770 21884.982047 1087.672230 23330.892044 200857.751918 71609.455606 34836.790596 9631.158679 151.744220 0.000000 0.002640 0.000741 0.000000 0.000140 0.008740 0.000000 0.000000 0.000000 0.006527 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6.205000e+03 6.101456 25.169797 23.776129 19.420406 1585.675778 988.821032 419.034669 32.392608 95.927758 15.148909 0.460798 1.811635 1.313099 41.666953 447.395833 96.082560 219436.293919 251076.874400 42379.104698 93267.036982 50930.237061 35556.140077 6770.025790 30332.906763 4170.925718 538.594462 1539.846336 453.592588 6815.969656 4565.395932 5889.147079 1451.785776 1241.403184 588.356705 39231.039944 2567.668315 1879.373427 109.078713 45.366493 202.314833 194.573383 2587.828242 85.414385 1877.537290 22690.864129 200154.582281 71214.629922 35662.006273 9726.353150 156.354641 0.000000 0.002555 0.000705 0.000000 0.000138 0.008839 0.000000 0.000000 0.000000 0.006248 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6.570000e+03 6.162119 24.877694 24.193758 19.265600 1583.346698 944.096574 423.525430 32.583463 96.265520 14.721420 0.443746 1.818823 1.348497 42.649707 479.598320 106.002613 217877.476406 247885.807984 42040.024272 92846.428557 51897.730898 35074.876355 6969.088549 30516.939916 4202.443913 535.793133 1538.280349 453.737972 6853.421866 4570.525121 5929.319286 1458.511637 1254.722130 596.635235 39587.579765 2594.612129 1876.054763 112.694032 45.687764 178.152743 5631.052668 2975.844715 21528.456922 1830.996787 21392.043064 199458.656177 70872.338662 36524.799632 9683.407059 161.081580 0.000000 0.002481 0.000670 0.000000 0.000136 0.008941 0.000000 0.000000 0.000000 0.005980 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
6.935000e+03 6.216764 24.602073 24.583127 19.117107 1579.605201 902.037680 427.870833 32.730807 96.490558 14.352504 0.427249 1.824139 1.383516 43.625363 510.213882 116.613759 215307.708564 245791.460098 41641.504593 92409.656680 52794.797117 34578.479548 7175.590559 30657.039885 4235.573323 533.874938 1530.512471 454.768882 6883.720942 4569.447663 5963.939366 1461.902146 1266.942301 604.369688 39861.141678 2619.142919 1866.420023 116.387995 46.011036 95.435460 38356.671916 2710.226104 83.720245 992.956499 19571.963720 198895.055170 70602.134265 37588.575976 9546.065255 165.926033 0.000000 0.002419 0.000638 0.000000 0.000134 0.009045 0.000000 0.000000 0.000000 0.005726 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000
